Order_Date,Customer_Name,Product_Name,Category,Region,Payment_Mode,Quantity,Unit_Price,Discount,Sales,Profit
2026-03-20,Anita Malhotra,Pen Drive,Accessories,West,Cash,8,900,0,7200.0,1712.23
2025-08-23,Advaith Ramanathan,Notebook,Stationery,East,UPI,2,120,10,216.0,18.32
2024-10-02,Vaishnavi Aurora,Laptop,Electronics,South,Credit Card,3,65000,0,195000.0,33052.83
2024-10-24,Rajata Savant,Mouse,Electronics,West,Cash,1,700,5,665.0,114.56
2024-10-14,Ishanvi Sastry,Printer,Electronics,South,Credit Card,6,18000,5,102600.0,16540.28
2026-07-06,Anusha Ahluwalia,Headphones,Electronics,East,Cash,8,2500,5,19000.0,3329.69
2025-09-18,Ojasvi Sami,Study Table,Furniture,North,Cash,4,12000,15,40800.0,8598.97
2024-08-09,Adweta Ghosh,Laptop,Electronics,East,Cash,6,65000,10,351000.0,65722.77
2025-08-27,Ishanvi Chaudhry,Keyboard,Electronics,East,Debit Card,6,1200,5,6840.0,1422.36
2025-06-14,Chaitanya Kulkarni,Laptop,Electronics,East,UPI,3,65000,0,195000.0,30372.9
2025-07-18,Hiral Rao,Keyboard,Electronics,East,Debit Card,4,1200,5,4560.0,729.45
2026-02-23,Balvan Vig,Monitor,Electronics,West,UPI,2,15000,0,30000.0,4082.86
2025-01-12,Panini Vala,Laptop,Electronics,North,Credit Card,3,65000,10,175500.0,23186.48
2025-08-02,Dayamai Acharya,Printer,Electronics,East,Debit Card,3,18000,5,51300.0,7620.61
2024-07-27,Neelima Mammen,Study Table,Furniture,South,Debit Card,5,12000,10,54000.0,4932.8
2025-07-25,Sachi Naik,Monitor,Electronics,North,Debit Card,9,15000,5,128250.0,18470.08
2025-01-25,Inaya Dhingra,Laptop,Electronics,North,UPI,1,65000,10,58500.0,13896.4
2025-02-11,Bhavani Behl,Headphones,Electronics,West,UPI,6,2500,10,13500.0,1389.7
2025-11-15,Rehaan Kari,Printer,Electronics,South,Cash,8,18000,10,129600.0,24227.22
2025-04-12,Peter Sule,Notebook,Stationery,South,Credit Card,3,120,15,306.0,39.16
2026-03-24,Yadavi Krish,Study Table,Furniture,South,UPI,7,12000,0,84000.0,17191.66
2025-09-23,Geetika Iyer,Study Table,Furniture,South,UPI,9,12000,10,97200.0,21096.63
2026-07-20,Quincy Sinha,Notebook,Stationery,West,Cash,5,120,10,540.0,94.44
2025-05-02,Kala Butala,Laptop,Electronics,South,Debit Card,4,65000,0,260000.0,31133.52
2025-11-03,Tara Desai,Printer,Electronics,South,Cash,2,18000,10,32400.0,5581.49
2025-11-26,Praneel Raman,Mouse,Electronics,North,UPI,2,700,10,1260.0,310.46
2025-01-22,Meera Contractor,Printer,Electronics,South,Credit Card,4,18000,15,61200.0,14187.34
2025-02-21,Rachit Sekhon,Study Table,Furniture,North,Debit Card,2,12000,10,21600.0,2849.59
2024-12-04,Jagrati Chawla,Monitor,Electronics,East,Debit Card,2,15000,5,28500.0,2637.48
2024-08-23,Harsh Arya,Mouse,Electronics,East,Debit Card,3,700,5,1995.0,367.03
2024-09-01,Bhavini Mody,Keyboard,Electronics,East,Debit Card,6,1200,0,7200.0,918.75
2025-10-12,Avni Palla,Keyboard,Electronics,South,UPI,8,1200,5,9120.0,1721.5
2025-11-08,Ridhi Oza,Office Chair,Furniture,East,Credit Card,6,8500,15,43350.0,9935.22
2025-05-27,Viraj Pant,Headphones,Electronics,East,UPI,6,2500,0,15000.0,2075.36
2026-07-13,Ishani Ramakrishnan,Laptop,Electronics,West,Cash,1,65000,5,61750.0,6311.96
2026-01-12,Raagini Prashad,Pen Drive,Accessories,East,UPI,5,900,0,4500.0,524.76
2025-07-19,Aryan Chandran,Pen Drive,Accessories,West,UPI,2,900,0,1800.0,400.22
2025-01-21,Varsha D’Alia,Monitor,Electronics,North,Credit Card,8,15000,15,102000.0,17657.16
2026-07-07,Harsh Kurian,Pen Drive,Accessories,North,Debit Card,6,900,5,5130.0,743.76
2025-03-24,Maanas Karan,Mouse,Electronics,South,Debit Card,1,700,5,665.0,152.62
2026-04-29,Widisha Raja,Mouse,Electronics,South,Credit Card,10,700,10,6300.0,1320.02
2025-04-28,Warinder Ramachandran,Monitor,Electronics,East,Credit Card,7,15000,0,105000.0,23889.1
2025-10-17,Amara Menon,Keyboard,Electronics,North,Cash,10,1200,10,10800.0,865.98
2024-09-12,Isaac Ganesan,Mouse,Electronics,East,Credit Card,9,700,5,5985.0,1457.93
2024-12-21,Jason Kannan,Pen Drive,Accessories,West,Cash,9,900,15,6885.0,1651.51
2025-11-06,Rayaan Lad,Monitor,Electronics,North,Cash,1,15000,5,14250.0,3056.73
2026-06-26,Gavin Borde,Office Chair,Furniture,West,UPI,10,8500,0,85000.0,12258.96
2026-04-07,Vasana Bobal,Study Table,Furniture,West,UPI,8,12000,0,96000.0,11672.87
2025-05-13,Nathan Bhandari,Laptop,Electronics,East,Credit Card,2,65000,0,130000.0,29965.4
2026-05-08,Ekavir Kulkarni,Study Table,Furniture,East,Cash,3,12000,5,34200.0,2771.12
2026-04-28,Veda Sant,Study Table,Furniture,South,UPI,1,12000,10,10800.0,1099.92
2025-11-01,Fiyaz Datta,Notebook,Stationery,North,UPI,1,120,10,108.0,16.41
2024-11-27,Ojas Brar,Pen Drive,Accessories,North,Debit Card,2,900,0,1800.0,149.09
2025-09-20,Aditya Sen,Office Chair,Furniture,South,Credit Card,6,8500,10,45900.0,9868.79
2026-07-11,Vansha Viswanathan,Notebook,Stationery,North,Cash,4,120,5,456.0,40.62
2025-01-15,Gayathri Kaur,Printer,Electronics,South,Debit Card,7,18000,5,119700.0,25724.38
2025-07-08,Anmol Ravel,Printer,Electronics,North,Credit Card,3,18000,10,48600.0,4463.29
2026-05-20,Girish Sodhi,Laptop,Electronics,West,Cash,2,65000,10,117000.0,23566.43
